source,target
antiviral pop,pony
otacore,pony
alternative metal,funk rock
alternative rock,funk metal
alternative rock,funk rock
funk metal,funk rock
funk metal,modern rock
funk metal,pop rock
funk rock,modern rock
funk rock,nu metal
funk rock,pop rock
funk rock,post-grunge
funk rock,rock
dfw rap,jazz rap
perreo,trap espanol
rap latina,trap espanol
dirty south rap,miami hip hop
gangster rap,miami hip hop
metropopolis,nottingham indie
art pop,neo-psychedelic
art pop,quebec indie
art pop,shiver pop
chillwave,quebec indie
chillwave,shiver pop
dream pop,quebec indie
dream pop,shiver pop
experimental pop,neo-psychedelic
experimental pop,quebec indie
experimental pop,shiver pop
indie pop,quebec indie
indie rock,quebec indie
indie rock,shiver pop
indie soul,quebec indie
indie soul,shiver pop
indietronica,quebec indie
indietronica,shiver pop
neo-psychedelic,quebec indie
neo-psychedelic,shiver pop
quebec indie,shiver pop
bass trap,moombahton
brostep,deep big room
deep big room,moombahton
bass house,catstep
bass house,deep disco house
deep disco house,electro house
gymcore,modern alternative rock
alternative metal,swedish alternative rock
alternative metal,swedish metalcore
alternative metal,trancecore
melodic metalcore,swedish alternative rock
melodic metalcore,swedish metalcore
post-grunge,swedish alternative rock
post-grunge,swedish metalcore
post-grunge,trancecore
swedish alternative rock,swedish metalcore
swedish alternative rock,trancecore
swedish metalcore,trancecore
euroska,rock steady
euroska,ska
euroska,ska revival
euroska,traditional ska
reggae,traditional ska
dub,ska jazz
reggae,ska jazz
rock steady,ska jazz
ska,ska jazz
ska jazz,ska revival
dub,early reggae
early reggae,lovers rock
early reggae,reggae
bay area indie,cali rap
bay area indie,underground hip hop
pet calming,sleep
canadian folk,folk-pop
grupera,rock en espanol
ranchera,rock en espanol
chamber pop,indie poptimism
chamber pop,pop rock
indie anthem-folk,indie poptimism
indie anthem-folk,pop rock
indie folk,indie poptimism
modern alternative rock,wrestling
rebel blues,wrestling
gymcore,modern hard rock
calming instrumental,new age
calming instrumental,new age piano
classify,new age
classify,new age piano
classify,piano cover
neo-classical,new age
neo-classical,piano cover
new age,new age piano
new age,piano cover
new age piano,piano cover
classical soprano,opera
classical soprano,operatic pop
opera,operatic pop
adult standards,jazz trombone
big band,jazz trombone
big band,swing
big band,vocal jazz
easy listening,jazz trombone
easy listening,swing
jazz trombone,lounge
jazz trombone,swing
jazz trombone,vocal jazz
lounge,swing
classic schlager,vintage schlager
brill building pop,easy listening
brill building pop,lounge
easy listening,mellow gold
bow pop,celtic punk
bow pop,celtic rock
bow pop,comic
bow pop,punk
bow pop,skate punk
celtic punk,celtic rock
celtic punk,comic
celtic punk,punk
celtic punk,skate punk
celtic rock,comic
celtic rock,punk
celtic rock,skate punk
comic,punk
comic,skate punk
asmr,sleep
christian relaxative,vbs
christian relaxative,world worship
vbs,world worship
acoustic pop,british singer-songwriter
british singer-songwriter,indiecoustica
darksynth,nightrun
darksynth,retro electro
nightrun,retro electro
electronica,funk
electronica,indie jazz
electronica,nz reggae
electronica,soul
funk,indie jazz
funk,indie soul
funk,nu jazz
funk,nz reggae
indie jazz,nu jazz
indie jazz,nz reggae
indie soul,nu jazz
indie soul,nz reggae
nu jazz,nz reggae
nu jazz,soul
nz reggae,soul
calming instrumental,compositional ambient
melodic power metal,power metal
girl group,house
girl group,tropical house
girl group,uk hip hop
house,post-teen pop
post-teen pop,uk hip hop
tropical house,uk hip hop
uk hip hop,uk pop
barbadian pop,dance pop
barbadian pop,pop
barbadian pop,post-teen pop
barbadian pop,r&b
barbadian pop,urban contemporary
french indie pop,nice indie
french indie pop,tropical house
french indietronica,nice indie
french indietronica,tropical house
new french touch,nice indie
nice indie,tropical house
pop,shimmer pop
dance pop,latin arena pop
ambient,chamber pop
ambient,focus
chamber pop,drone
drone,focus
drone,neo-classical
bedroom pop,uk contemporary r&b
indie garage rock,uk contemporary r&b
alternative dance,modern dream pop
art pop,dance-punk
chamber psych,dance-punk
chamber psych,modern dream pop
chamber psych,neo-synthpop
chillwave,dance-punk
chillwave,neo-synthpop
dance-punk,dream pop
dance-punk,experimental pop
dance-punk,modern dream pop
dance-punk,nu gaze
dream pop,neo-synthpop
electronica,modern dream pop
electronica,neo-synthpop
electronica,nu gaze
electropop,modern dream pop
experimental pop,neo-synthpop
modern dream pop,neo-synthpop
modern dream pop,new rave
modern dream pop,nu gaze
neo-synthpop,nu gaze
new rave,nu gaze
banda,duranguense
cumbia,duranguense
duranguense,grupera
duranguense,norteno
duranguense,regional mexican
brostep,fidget house
deep groove house,fidget house
edm,fidget house
electro house,fidget house
electronic trap,fidget house
fidget house,house
bass house,doujin
doujin,electro house
melodic hardcore,progressive deathcore
metalcore,progressive deathcore
bass trap,big room
bass trap,deep big room
bass trap,dutch house
bass trap,progressive house
acid rock,piano rock
album rock,piano rock
classic rock,piano rock
piano rock,psychedelic rock
british singer-songwriter,liverpool indie
chamber pop,liverpool indie
indie folk,liverpool indie
bass house,moombahton
art rock,brill building pop
art rock,traditional folk
brill building pop,classic uk pop
brill building pop,roots rock
brill building pop,traditional folk
classic uk pop,rock
classic uk pop,roots rock
classic uk pop,traditional folk
melodic deathcore,progressive deathcore
melodic deathcore,slamming deathcore
canadian contemporary r&b,modern alternative rock
canadian folk,quebec indie
canadian indie,quebec indie
chamber pop,quebec indie
deep new americana,quebec indie
indie anthem-folk,quebec indie
indie folk,quebec indie
new americana,quebec indie
quebec indie,stomp and holler
australian children's music,australian singer-songwriter
canadian hip hop,indie r&b
edm,neon pop punk
edm,pop punk
edm,trancecore
electro house,neon pop punk
electro house,pop punk
electro house,trancecore
electropowerpop,neon pop punk
electropowerpop,trancecore
neon pop punk,pop edm
neon pop punk,trancecore
pop edm,pop punk
pop edm,trancecore
pop punk,trancecore
emo rap,escape room
cantautor,latin afrobeat
cantautor,latin alternative
cantautor,latin rock
cantautor,nueva cancion
latin afrobeat,latin alternative
latin afrobeat,latin rock
latin afrobeat,nueva cancion
latin afrobeat,rock en espanol
latin alternative,nueva cancion
latin rock,nueva cancion
nueva cancion,rock en espanol
guadalajara indie,latin alternative
guadalajara indie,latin rock
guadalajara indie,mexican indie
deep house,new rave
alternative dance,new french touch
filter house,new french touch
bass trap,brazilian rock
brazilian rock,traprun
ambient house,deep house
ambient house,electronica
ambient house,float house
ambient house,house
float house,house
indie pop,pop edm
la pop,pop edm
la pop,tropical house
j-pop boy group,japanese r&b
latin alternative,mexican indie
latin rock,mexican indie
mexican indie,mexican rock
australian garage punk,australian indie
australian garage punk,chamber psych
australian garage punk,indie rock
australian indie,chamber psych
australian indie,indie rock
blues rock,permanent wave
modern blues rock,permanent wave
permanent wave,punk blues
banda,cumbia
cumbia,grupera
cumbia,norteno
cumbia,ranchera
cumbia,regional mexican
latin talent show,regional mexican pop
death metal,deathcore
death metal,melodic deathcore
death metal,melodic metalcore
death metal,metalcore
deathcore,groove metal
deathcore,melodic deathcore
groove metal,melodic deathcore
melodic deathcore,melodic metalcore
melodic deathcore,metalcore
brostep,jump up
catstep,drum and bass
catstep,jump up
complextro,drum and bass
complextro,jump up
drum and bass,zapstep
edm,jump up
electro house,jump up
jump up,zapstep
antiviral pop,eurobeat
eurobeat,meme rap
eurobeat,otacore
meme rap,otacore
alternative roots rock,garage rock
alternative roots rock,modern alternative rock
alternative roots rock,modern blues rock
alternative roots rock,modern hard rock
alternative roots rock,modern rock
alternative roots rock,punk blues
alternative roots rock,rock
modern hard rock,punk blues
grupera,mexican rock-and-roll
german pop,german rock
german pop,new wave pop
german rock,new wave pop
calming instrumental,christmas instrumental
christmas instrumental,focus
christmas instrumental,piano cover
focus,piano cover
latin arena pop,puerto rican pop
reggaeton chileno,reggaeton flow
bachata,cubaton
dance pop,hands up
dance pop,italo dance
edm,europop
edm,hands up
edm,italo dance
europop,hands up
europop,italo dance
hands up,italo dance
dark post-punk,nu gaze
glasgow indie,modern rock
glasgow indie,scottish indie rock
modern rock,scottish indie rock
aussietronica,big room
aussietronica,deep big room
aussietronica,progressive electro house
aussietronica,progressive house
australian dance,big room
australian dance,deep big room
australian dance,electro house
australian dance,progressive electro house
bass trap,electra
electra,pop edm
edm,jamtronica
edm,jazztronica
edm,livetronica
electropop,jamtronica
electropop,jazztronica
electropop,livetronica
jamtronica,jazztronica
jamtronica,livetronica
brostep,downtempo
brostep,drill and bass
downtempo,drill and bass
downtempo,electro house
downtempo,electronic trap
drill and bass,edm
drill and bass,electro house
drill and bass,electronic trap
full on,progressive psytrance
full on,psychedelic trance
electronic trap,experimental bass
electronic trap,glitch hop
experimental bass,glitch hop
bass house,fidget house
belgian edm,euphoric hardstyle
belgian edm,hardstyle
belgian edm,jumpstyle
belgian edm,rawstyle
euphoric hardstyle,jumpstyle
hardstyle,jumpstyle
jumpstyle,rawstyle
japanese instrumental,otacore
british soundtrack,deep soundtrack
deep soundtrack,soundtrack
alternative metal,slayer
death metal,melodic death metal
death metal,power metal
death metal,slayer
death metal,swedish death metal
death metal,swedish metal
groove metal,slayer
melodic death metal,power metal
melodic death metal,slayer
melodic death metal,speed metal
metal,slayer
nu metal,power metal
nu metal,slayer
power metal,slayer
power metal,swedish death metal
slayer,speed metal
slayer,swedish death metal
slayer,swedish metal
speed metal,swedish death metal
speed metal,swedish metal
dutch r&b,indie soul
dutch r&b,vapor soul
contemporary post-bop,jazz trio
cool jazz,jazz trio
jazz trio,stride
east coast reggae,reggae
english indie rock,kent indie
gymcore,hard alternative
deep tropical house,indie electropop
deep tropical house,indie soul
deep tropical house,nu disco
deep tropical house,vapor twitch
electropop,nu disco
house,indie electropop
house,vapor twitch
indie electropop,nu disco
indie soul,pop edm
nu disco,pop edm
nu disco,vapor twitch
dominican pop,merengue
latin,merengue
merengue,tropical
deep melodic euro house,ethnotronica
deep melodic euro house,organic electronic
ethnotronica,organic electronic
drum and bass,uk dnb
liquid funk,uk dnb
album rock,instrumental rock
album rock,jazz fusion
album rock,jazz rock
album rock,zolo
art rock,instrumental rock
art rock,jazz fusion
art rock,jazz rock
art rock,zolo
classic rock,instrumental rock
classic rock,jazz fusion
classic rock,jazz rock
classic rock,zolo
instrumental rock,jazz fusion
instrumental rock,jazz rock
instrumental rock,progressive rock
instrumental rock,psychedelic rock
instrumental rock,rock
instrumental rock,symphonic rock
instrumental rock,zolo
jazz fusion,jazz rock
jazz fusion,progressive rock
jazz fusion,psychedelic rock
jazz fusion,rock
jazz fusion,symphonic rock
jazz fusion,zolo
jazz rock,progressive rock
jazz rock,psychedelic rock
jazz rock,rock
jazz rock,symphonic rock
jazz rock,zolo
progressive rock,zolo
psychedelic rock,zolo
rock,zolo
symphonic rock,zolo
deep house,lo-fi house
electronica,lo-fi house
float house,lo-fi house
indie soul,lo-fi house
bass trap,danish electronic
danish electronic,electronic trap
danish electronic,traprun
deathcore,russian metal
deathcore,slamming deathcore
melodic metalcore,russian metal
melodic metalcore,slamming deathcore
progressive deathcore,russian metal
progressive deathcore,slamming deathcore
russian metal,slamming deathcore
canadian rock,gothic metal
canadian rock,industrial metal
canadian rock,industrial rock
canadian rock,pixie
canadian rock,steampunk
gothic metal,industrial metal
gothic metal,industrial rock
gothic metal,pixie
gothic metal,steampunk
industrial metal,pixie
industrial metal,steampunk
industrial rock,pixie
industrial rock,steampunk
pixie,steampunk
alternative dance,nu gaze
baroque pop,chamber psych
baroque pop,chillwave
baroque pop,dream pop
baroque pop,experimental pop
baroque pop,noise pop
baroque pop,nu gaze
chamber psych,nu gaze
latin worship,rock cristiano
chillhop,wonky
japanese chillhop,wonky
ambient,dub techno
drift,dub techno
drone,dub techno
dub techno,fourth world
dub techno,warm drone
album rock,alternative metal
alternative metal,classic rock
classic rock,groove metal
classic rock,speed metal
ambient,drift
ambient,drone
ambient,experimental ambient
ambient,fourth world
ambient,j-ambient
ambient,nu age
ambient,warm drone
compositional ambient,drift
compositional ambient,experimental ambient
compositional ambient,fourth world
compositional ambient,j-ambient
compositional ambient,nu age
compositional ambient,warm drone
drift,drone
drift,experimental ambient
drift,fourth world
drift,j-ambient
drift,nu age
drift,warm drone
drone,experimental ambient
drone,fourth world
drone,j-ambient
drone,nu age
drone,warm drone
experimental ambient,fourth world
experimental ambient,j-ambient
experimental ambient,nu age
experimental ambient,warm drone
fourth world,j-ambient
fourth world,nu age
fourth world,warm drone
j-ambient,nu age
j-ambient,warm drone
nu age,warm drone
indie folk,memphis americana
memphis americana,new americana
memphis americana,stomp and holler
pop rap,uk contemporary r&b
rap,uk contemporary r&b
alternative r&b,trap
melodic rap,pop
dance-punk,shimmer pop
dance-punk,swedish electropop
dance-punk,swedish synthpop
indie pop,swedish synthpop
indie rock,swedish electropop
indie rock,swedish synthpop
modern rock,swedish electropop
modern rock,swedish synthpop
shimmer pop,swedish electropop
shimmer pop,swedish indie pop
shimmer pop,swedish synthpop
swedish indie pop,swedish synthpop
contemporary country,dance pop
country,post-teen pop
country dawn,oklahoma country
country dawn,post-teen pop
country road,dance pop
country road,pop
country road,post-teen pop
dance pop,oklahoma country
oklahoma country,pop
oklahoma country,post-teen pop
indie poptimism,talent show
baltimore hip hop,cali rap
baltimore hip hop,vapor trap
disco,jazz funk
jazz funk,motown
jazz funk,quiet storm
modern blues,soul
acoustic pop,lds youth
acoustic pop,piano rock
indiecoustica,lds youth
indiecoustica,piano rock
lds youth,neo mellow
lds youth,piano rock
lds youth,pop rock
hip hop,sudanese pop
queens hip hop,sudanese pop
queens hip hop,underground hip hop
rap,sudanese pop
sudanese pop,underground hip hop
stomp and holler,vapor soul
groove metal,rap metal
grupera,gruperas inmortales
grupera,nu-cumbia
gruperas inmortales,nu-cumbia
gruperas inmortales,regional mexican
nu-cumbia,regional mexican
broadway,pop
country,heartland rock
country,texas country
country road,heartland rock
heartland rock,modern country rock
heartland rock,texas country
modern country rock,texas country
canadian pop punk,canadian rock
canadian punk,canadian rock
chillwave,ninja
bedroom pop,bergen indie
bergen indie,indie pop
bergen indie,norwegian indie
afrofuturism,atl hip hop
alternative r&b,atl hip hop
atl hip hop,electropop
atl hip hop,escape room
atl hip hop,neo soul
entehno,greek indie
entehno,greek pop
entehno,greek swing
greek indie,greek pop
greek indie,greek swing
greek pop,greek swing
hollywood,new wave pop
country,modern southern rock
country road,modern southern rock
modern country rock,modern southern rock
indie pop,minneapolis indie
indie poptimism,minneapolis indie
indie rock,minneapolis indie
indietronica,minneapolis indie
minneapolis indie,modern alternative rock
minneapolis indie,modern rock
anthem worship,christian indie
christian indie,world worship
hopebeat,metropopolis
art rock,britpop
art rock,madchester
britpop,new romantic
britpop,new wave pop
britpop,post-punk
britpop,synthpop
britpop,uk post-punk
madchester,new romantic
madchester,new wave pop
madchester,post-punk
madchester,synthpop
madchester,uk post-punk
post-punk,synthpop
synthpop,uk post-punk
art rock,post-punk
art rock,punk
art rock,uk post-punk
dream pop,permanent wave
dream pop,rock
permanent wave,post-punk
permanent wave,uk post-punk
post-punk,rock
punk,rock
rock,uk post-punk
alternative rock,gothic rock
alternative rock,new romantic
alternative rock,new wave pop
alternative rock,post-punk
alternative rock,punk
alternative rock,uk post-punk
dance rock,dream pop
dance rock,gothic rock
dance rock,post-punk
dance rock,uk post-punk
dream pop,gothic rock
dream pop,new romantic
dream pop,new wave
dream pop,new wave pop
dream pop,post-punk
dream pop,punk
dream pop,uk post-punk
gothic rock,new romantic
gothic rock,new wave
gothic rock,new wave pop
gothic rock,post-punk
gothic rock,punk
gothic rock,uk post-punk
new romantic,post-punk
new romantic,uk post-punk
new wave,post-punk
new wave,uk post-punk
new wave pop,post-punk
new wave pop,uk post-punk
post-punk,punk
post-punk,uk post-punk
punk,uk post-punk
bedroom pop,indie poptimism
dance rock,jangle pop
dance rock,welsh rock
jangle pop,new romantic
jangle pop,new wave
jangle pop,new wave pop
jangle pop,welsh rock
new romantic,welsh rock
new wave,welsh rock
new wave pop,welsh rock
modern southern rock,outlaw country
modern southern rock,texas country
outlaw country,texas country
brooklyn indie,dance pop
brooklyn indie,escape room
chamber pop,dance pop
dance pop,indie rock
indie r&b,metropopolis
indie soul,metropopolis
boston rock,indie folk
boston rock,new americana
boston rock,stomp and holler
country rap,military rap
military rap,redneck
afro house,deep house
afro house,kwaito house
deep house,kwaito house
neo mellow,stomp and flutter
pop folk,stomp and flutter
jam band,neo mellow
jam band,pop rock
jam band,post-grunge
indietronica,social media pop
british soul,pop rap
british soul,r&b
british soul,tropical house
r&b,tropical house
tropical house,urban contemporary
indie pop,la pop
adult standards,canadian pop
canadian pop,lounge
boston hip hop,trap
boston hip hop,underground hip hop
boston hip hop,vapor trap
neo soul,uk contemporary r&b
r&b,uk contemporary r&b
uk contemporary r&b,urban contemporary
chillwave,kiwi rock
chillwave,neo-psychedelic
chillwave,portland hip hop
dream pop,indie soul
dream pop,kiwi rock
dream pop,neo-psychedelic
dream pop,portland hip hop
indie pop,kiwi rock
indie pop,portland hip hop
indie rock,indie soul
indie rock,kiwi rock
indie rock,portland hip hop
indie soul,kiwi rock
indie soul,neo-psychedelic
indie soul,portland hip hop
indietronica,kiwi rock
indietronica,neo-psychedelic
indietronica,portland hip hop
kiwi rock,neo-psychedelic
kiwi rock,new rave
kiwi rock,portland hip hop
neo-psychedelic,new rave
neo-psychedelic,portland hip hop
new rave,portland hip hop
funk,indie folk
funk,stomp and holler
indie folk,modern blues rock
modern blues rock,stomp and holler
bedroom soul,electropop
permanent wave,piano rock
piano rock,post-grunge
lilith,pop
melodic dubstep,pop edm
chicago rap,deep underground hip hop
conscious hip hop,deep underground hip hop
deep underground hip hop,hip hop
deep underground hip hop,southern hip hop
deep new americana,indie pop
dark trap,lo-fi beats
lo-fi beats,pop rap
country rock,modern country rock
christian hip hop,miami hip hop
christian hip hop,rap cristiano
christian pop,miami hip hop
christian pop,rap cristiano
christian trap,miami hip hop
christian trap,rap cristiano
miami hip hop,rap cristiano
indie electropop,modern alternative rock
indie electropop,pop rock
pop rock,vapor soul
c-pop,vintage chinese pop
c-pop,cantopop
c-pop,classic cantopop
cantopop,classic cantopop
cantopop,classic mandopop
classic cantopop,classic mandopop
indietronica,uk contemporary r&b
garage rock,sheffield indie
modern rock,sheffield indie
permanent wave,sheffield indie
rock,sheffield indie
chillhop,future funk
ambient folk,indie pop
ambient folk,indie rock
desi hip hop,vapor soul
alternative metal,australian metalcore
australian metalcore,nu metal
cali rap,chicano rap
art pop,baltimore indie
art pop,modern dream pop
baltimore indie,chamber pop
baltimore indie,chillwave
baltimore indie,dream pop
baltimore indie,experimental pop
baltimore indie,freak folk
baltimore indie,indie pop
baltimore indie,indie rock
baltimore indie,indietronica
baltimore indie,modern dream pop
chamber pop,modern dream pop
chillwave,modern dream pop
dream pop,modern dream pop
experimental pop,modern dream pop
freak folk,modern dream pop
indie pop,modern dream pop
indie rock,modern dream pop
indietronica,modern dream pop
bedroom pop,la indie
christian rock,melodic metalcore
christian rock,metalcore
christian rock,post-screamo
christian rock,screamo
circuit,guaracha
lo-fi beats,meme rap
art pop,swedish indie pop
dance pop,swedish indie pop
electropop,swedish indie pop
indie pop,swedish electropop
indie pop,swedish pop
indietronica,swedish pop
pop,swedish indie pop
swedish electropop,swedish indie pop
swedish indie pop,swedish pop
indie pop,washington indie
indie rock,washington indie
modern rock,washington indie
pop rock,washington indie
chillhop,uk alternative hip hop
lo-fi beats,uk alternative hip hop
aussietronica,brostep
aussietronica,electra
aussietronica,electro house
aussietronica,electronic trap
aussietronica,escape room
brostep,escape room
brostep,indietronica
edm,escape room
electra,indietronica
electro house,escape room
electro house,indietronica
electronic trap,escape room
anthem worship,norsk lovsang
ccm,norsk lovsang
christian music,norsk lovsang
deep ccm,norsk lovsang
norsk lovsang,world worship
norsk lovsang,worship
australian indie folk,chamber pop
australian indie folk,indie anthem-folk
australian indie folk,indie folk
australian indie folk,neo mellow
australian indie folk,stomp and holler
alternative metal,gymcore
alternative metal,post-screamo
gymcore,post-grunge
gymcore,rap rock
post-grunge,post-screamo
post-screamo,rap rock
indietronica,la indie
la indie,vapor soul
acoustic pop,ccm
acoustic pop,christian alternative rock
acoustic pop,christian music
acoustic pop,folk-pop
acoustic pop,worship
ccm,christian indie
ccm,folk-pop
ccm,neo mellow
ccm,pop rock
christian alternative rock,christian indie
christian alternative rock,folk-pop
christian alternative rock,neo mellow
christian alternative rock,pop rock
christian indie,christian music
christian indie,folk-pop
christian indie,pop rock
christian indie,worship
christian music,folk-pop
christian music,neo mellow
christian music,pop rock
folk-pop,indiecoustica
folk-pop,worship
neo mellow,worship
pop rock,worship
indie folk,modern alternative rock
indie folk,rock
ambient folk,stomp and holler
alternative r&b,chicago rap
chicago rap,escape room
chicago rap,indie soul
indie soul,rap
contemporary country,country rock
country road,country rock
contemporary country,indie cafe pop
contemporary country,indiecoustica
contemporary country,pop rock
alternative rock,brooklyn indie
alternative rock,denton tx indie
alternative rock,garage psych
brooklyn indie,denton tx indie
brooklyn indie,garage psych
brooklyn indie,garage rock
brooklyn indie,lo-fi
brooklyn indie,neo-psychedelic
brooklyn indie,noise pop
denton tx indie,freak folk
denton tx indie,garage psych
denton tx indie,garage rock
denton tx indie,indie pop
denton tx indie,indie rock
denton tx indie,lo-fi
denton tx indie,modern rock
denton tx indie,neo-psychedelic
denton tx indie,noise pop
freak folk,garage rock
garage psych,garage rock
garage psych,indie pop
garage psych,lo-fi
garage psych,modern rock
garage psych,neo-psychedelic
garage rock,lo-fi
garage rock,neo-psychedelic
indie pop,neo-psychedelic
lo-fi,neo-psychedelic
modern rock,neo-psychedelic
alternative rock,rap rock
modern rock,rap rock
indie garage rock,liverpool indie
metalcore,rap rock
nu metal,screamo
post-grunge,screamo
rap rock,screamo
alternative r&b,cali rap
chamber pop,seattle indie
freak folk,seattle indie
indie rock,seattle indie
modern rock,seattle indie
glam rock,modern alternative rock
glam rock,modern rock
indie game soundtrack,otacore
art pop,pop rock
art pop,scandipop
art pop,swedish pop
electropop,scandipop
pop rock,scandipop
pop rock,swedish electropop
christian alternative rock,indiecoustica
christian alternative rock,roots worship
christian music,roots worship
indiecoustica,uk worship
roots worship,uk worship
roots worship,world worship
roots worship,worship
modern blues rock,rebel blues
modern hard rock,rebel blues
bedroom pop,indie garage rock
bedroom pop,rochester mn indie
indie garage rock,rochester mn indie
indie pop,rochester mn indie
art pop,portland indie
chamber pop,portland indie
freak folk,portland indie
indie folk,portland indie
indie pop,portland indie
indie rock,portland indie
portland indie,small room
portland indie,stomp and holler
small room,stomp and holler
conscious hip hop,g funk
conscious hip hop,west coast rap
g funk,hardcore hip hop
brostep,progressive trance
electronic trap,progressive trance
antiviral pop,meme rap
alternative hip hop,east coast hip hop
alternative hip hop,neo soul
alternative hip hop,queens hip hop
east coast hip hop,neo soul
hardcore hip hop,neo soul
neo soul,queens hip hop
alternative metal,blues rock
alternative metal,garage rock
alternative metal,palm desert scene
alternative metal,stoner metal
alternative metal,stoner rock
alternative rock,palm desert scene
alternative rock,stoner metal
alternative rock,stoner rock
blues rock,nu metal
blues rock,palm desert scene
blues rock,post-grunge
blues rock,stoner metal
blues rock,stoner rock
garage rock,nu metal
garage rock,palm desert scene
garage rock,post-grunge
garage rock,stoner metal
garage rock,stoner rock
modern rock,palm desert scene
modern rock,stoner metal
modern rock,stoner rock
nu metal,palm desert scene
nu metal,stoner metal
nu metal,stoner rock
palm desert scene,post-grunge
palm desert scene,rock
palm desert scene,stoner metal
palm desert scene,stoner rock
post-grunge,stoner metal
post-grunge,stoner rock
rock,stoner metal
rock,stoner rock
stoner metal,stoner rock
indie pop,pinoy indie
indietronica,pinoy indie
brostep,dark trap
brostep,underground hip hop
dark trap,edm
dark trap,electro house
dark trap,electronic trap
dark trap,filthstep
electro house,underground hip hop
electronic trap,underground hip hop
filthstep,underground hip hop
indie garage rock,vapor soul
meme rap,scream rap
scream rap,vapor trap
bow pop,chamber pop
bow pop,neoclassical
chamber pop,compositional ambient
chamber pop,focus
chamber pop,icelandic classical
chamber pop,neo-classical
chamber pop,neoclassical
icelandic classical,neo-classical
icelandic classical,neoclassical
alternative metal,uk metalcore
alternative metal,welsh metal
melodic metalcore,welsh metal
metalcore,post-grunge
metalcore,welsh metal
nu metal,uk metalcore
nu metal,welsh metal
post-grunge,uk metalcore
post-grunge,welsh metal
uk metalcore,welsh metal
chamber pop,eau claire indie
eau claire indie,indie anthem-folk
eau claire indie,new americana
eau claire indie,stomp and holler
aussietronica,brisbane indie
australian indie,brisbane indie
australian pop,brisbane indie
grunge,modern rock
hard rock,modern rock
alternative metal,permanent wave
nu metal,permanent wave
blues rock,mexican classic rock
classic rock,mexican classic rock
mexican classic rock,rock
electro jazz,electro swing
electro jazz,jazztronica
electro jazz,nu jazz
electro swing,jazztronica
indie anthem-folk,viral pop
nyc rap,vapor trap
chillstep,complextro
deep new americana,jam band
deep new americana,rock
funk,jam band
funk,modern blues
funk,modern blues rock
funk,rock
jam band,modern blues
jam band,modern blues rock
jam band,rock
alternative metal,pixie
anime,vocaloid
j-pop,vocaloid
anime,j-pop girl group
anime score,j-pop girl group
j-pop girl group,otacore
garage rock,liverpool indie
indie pop,liverpool indie
indie rock,liverpool indie
punk,ska
ska,ska punk
ska,skate punk
hip hop,irish hip hop
irish hip hop,rap
irish hip hop,underground hip hop
electropop,talent show
social media pop,talent show
canadian indie,modern alternative rock
canadian indie,rock
rock,vancouver indie
conscious hip hop,east coast hip hop
conscious hip hop,hardcore hip hop
conscious hip hop,queens hip hop
emo,neon pop punk
emo,pop emo
crunk,memphis hip hop
ccm,post-teen pop
ccm,viral pop
christian alternative rock,post-teen pop
christian alternative rock,viral pop
christian music,post-teen pop
christian music,viral pop
anime score,scorecore
ann arbor indie,funk rock
ann arbor indie,instrumental funk
funk rock,instrumental funk
classic country pop,country
classic country pop,country dawn
australian r&b,bedroom soul
australian r&b,indie r&b
australian r&b,pop
alternative r&b,canadian hip hop
bass trap,indie pop rap
bass trap,pop rap
christian music,indiecoustica
indiecoustica,world worship
indiecoustica,worship
early reggae,oi
early reggae,ska
early reggae,ska revival
early reggae,traditional ska
early reggae,uk reggae
oi,rock steady
oi,ska
oi,ska revival
oi,traditional ska
oi,uk reggae
rock steady,traditional ska
rock steady,uk reggae
ska,traditional ska
ska,uk reggae
ska revival,traditional ska
ska revival,uk reggae
traditional ska,uk reggae
dub,old school dancehall
lovers rock,old school dancehall
old school dancehall,reggae
old school dancehall,rock steady
old school dancehall,roots reggae
old school dancehall,ska
electroacoustic improvisation,experimental
electroacoustic improvisation,free improvisation
experimental,free improvisation
dub,ska
dub,ska revival
lovers rock,ska
lovers rock,ska revival
roots reggae,ska
roots reggae,ska revival
reggae,ska
reggae,ska revival
rock steady,ska
rock steady,ska revival
ska,ska revival
early reggae,rock steady
dub,lovers rock
dub,reggae
dub,rock steady
dub,roots reggae
lovers rock,rock steady
reggae,rock steady
rock steady,roots reggae
calypso,rock steady
comedienne,comedy
comedienne,comic
comedy,comic
british soundtrack,video game music
adult standards,operatic pop
chamber pop,folk-pop
chamber pop,new england americana
folk-pop,new england americana
new england americana,stomp and holler
atl hip hop,crunk
ccm,christian hip hop
christian alternative rock,christian hip hop
christian hip hop,christian music
christian hip hop,worship
dancehall,trap queen
soca,trap queen
comic,otacore
otacore,social media pop
deep regional mexican,norteno
garage rock,modern hard rock
garage rock,windsor on indie
modern alternative rock,modern blues rock
modern alternative rock,modern hard rock
modern alternative rock,windsor on indie
modern blues rock,modern hard rock
modern blues rock,windsor on indie
modern hard rock,modern rock
modern hard rock,rock
modern hard rock,windsor on indie
modern rock,windsor on indie
rock,windsor on indie
acid rock,album rock
acid rock,hard rock
acid rock,rock
indie soul,nyc pop
chicago hardcore,chicago punk
chicago hardcore,hardcore punk
chicago hardcore,post-grunge
chicago hardcore,punk
chicago punk,hardcore punk
chicago punk,post-grunge
chicago punk,punk
hardcore punk,post-grunge
hardcore punk,punk
dance pop,danish pop
